Repeticion: 0, Duracion: 0.001960
Repeticion: 1, Duracion: 0.001279
Repeticion: 2, Duracion: 0.001418
Repeticion: 3, Duracion: 0.001210
Repeticion: 4, Duracion: 0.001551
Repeticion: 5, Duracion: 0.001663
Repeticion: 6, Duracion: 0.001782
Repeticion: 7, Duracion: 0.001388
Repeticion: 8, Duracion: 0.001494
Repeticion: 9, Duracion: 0.001683
Repeticion: 10, Duracion: 0.001291
Repeticion: 11, Duracion: 0.001628
Repeticion: 12, Duracion: 0.001839
Repeticion: 13, Duracion: 0.002362
Repeticion: 14, Duracion: 0.002627
Repeticion: 15, Duracion: 0.002463
Repeticion: 16, Duracion: 0.001345
Repeticion: 17, Duracion: 0.001413
Repeticion: 18, Duracion: 0.001162
Repeticion: 19, Duracion: 0.001630
Repeticion: 20, Duracion: 0.002323
Repeticion: 21, Duracion: 0.002381
Repeticion: 22, Duracion: 0.001786
Repeticion: 23, Duracion: 0.001402
Repeticion: 24, Duracion: 0.001323
Repeticion: 25, Duracion: 0.001856
Repeticion: 26, Duracion: 0.001137
Repeticion: 27, Duracion: 0.001158
Repeticion: 28, Duracion: 0.001089
Repeticion: 29, Duracion: 0.001383
Repeticion: 30, Duracion: 0.001455
Repeticion: 31, Duracion: 0.001666
Repeticion: 32, Duracion: 0.002094
Repeticion: 33, Duracion: 0.001287
Repeticion: 34, Duracion: 0.001082
Repeticion: 35, Duracion: 0.001057
Repeticion: 36, Duracion: 0.001237
Repeticion: 37, Duracion: 0.000968
Repeticion: 38, Duracion: 0.001016
Repeticion: 39, Duracion: 0.000997
Repeticion: 40, Duracion: 0.000940
Repeticion: 41, Duracion: 0.001611
Repeticion: 42, Duracion: 0.001626
Repeticion: 43, Duracion: 0.001225
Repeticion: 44, Duracion: 0.001072
Repeticion: 45, Duracion: 0.000970
Repeticion: 46, Duracion: 0.000985
Repeticion: 47, Duracion: 0.001032
Repeticion: 48, Duracion: 0.000969
Repeticion: 49, Duracion: 0.001009
Repeticion: 50, Duracion: 0.000933
Repeticion: 51, Duracion: 0.000820
Repeticion: 52, Duracion: 0.000879
Repeticion: 53, Duracion: 0.001125
Repeticion: 54, Duracion: 0.001523
Repeticion: 55, Duracion: 0.001166
Repeticion: 56, Duracion: 0.000993
Repeticion: 57, Duracion: 0.000916
Repeticion: 58, Duracion: 0.001103
Repeticion: 59, Duracion: 0.001325
Repeticion: 60, Duracion: 0.001243
Repeticion: 61, Duracion: 0.001058
Repeticion: 62, Duracion: 0.001005
Repeticion: 63, Duracion: 0.001077
Repeticion: 64, Duracion: 0.001296
Repeticion: 65, Duracion: 0.001645
Repeticion: 66, Duracion: 0.001235
Repeticion: 67, Duracion: 0.001205
Repeticion: 68, Duracion: 0.001202
Repeticion: 69, Duracion: 0.001265
Repeticion: 70, Duracion: 0.001174
Repeticion: 71, Duracion: 0.001231
Repeticion: 72, Duracion: 0.001476
Repeticion: 73, Duracion: 0.001842
Repeticion: 74, Duracion: 0.001247
Repeticion: 75, Duracion: 0.001085
Repeticion: 76, Duracion: 0.001782
Repeticion: 77, Duracion: 0.001316
Repeticion: 78, Duracion: 0.001170
Repeticion: 79, Duracion: 0.001123
Repeticion: 80, Duracion: 0.001463
Repeticion: 81, Duracion: 0.002085
Repeticion: 82, Duracion: 0.001239
Repeticion: 83, Duracion: 0.001191
Repeticion: 84, Duracion: 0.001044
Repeticion: 85, Duracion: 0.001561
Repeticion: 86, Duracion: 0.001376
Repeticion: 87, Duracion: 0.001477
Repeticion: 88, Duracion: 0.002571
Repeticion: 89, Duracion: 0.001364
Repeticion: 90, Duracion: 0.001133
Repeticion: 91, Duracion: 0.001385
Repeticion: 92, Duracion: 0.001378
Repeticion: 93, Duracion: 0.001219
Repeticion: 94, Duracion: 0.001016
Repeticion: 95, Duracion: 0.000976
Repeticion: 96, Duracion: 0.001070
Repeticion: 97, Duracion: 0.001437
Repeticion: 98, Duracion: 0.002278
Repeticion: 99, Duracion: 0.001450

Tiempo promedio: 0.001385
