Repeticion: 0, Duracion: 0.004251
Repeticion: 1, Duracion: 0.002773
Repeticion: 2, Duracion: 0.001731
Repeticion: 3, Duracion: 0.005849
Repeticion: 4, Duracion: 0.000976
Repeticion: 5, Duracion: 0.006376
Repeticion: 6, Duracion: 0.003681
Repeticion: 7, Duracion: 0.002534
Repeticion: 8, Duracion: 0.003556
Repeticion: 9, Duracion: 0.004726
Repeticion: 10, Duracion: 0.003196
Repeticion: 11, Duracion: 0.003199
Repeticion: 12, Duracion: 0.001260
Repeticion: 13, Duracion: 0.000942
Repeticion: 14, Duracion: 0.004487
Repeticion: 15, Duracion: 0.001569
Repeticion: 16, Duracion: 0.001670
Repeticion: 17, Duracion: 0.003292
Repeticion: 18, Duracion: 0.003661
Repeticion: 19, Duracion: 0.003143
Repeticion: 20, Duracion: 0.001818
Repeticion: 21, Duracion: 0.001938
Repeticion: 22, Duracion: 0.005109
Repeticion: 23, Duracion: 0.001221
Repeticion: 24, Duracion: 0.000935
Repeticion: 25, Duracion: 0.003860
Repeticion: 26, Duracion: 0.001891
Repeticion: 27, Duracion: 0.001210
Repeticion: 28, Duracion: 0.001229
Repeticion: 29, Duracion: 0.002679
Repeticion: 30, Duracion: 0.000912
Repeticion: 31, Duracion: 0.001825
Repeticion: 32, Duracion: 0.003614
Repeticion: 33, Duracion: 0.004374
Repeticion: 34, Duracion: 0.002503
Repeticion: 35, Duracion: 0.001358
Repeticion: 36, Duracion: 0.001261
Repeticion: 37, Duracion: 0.006305
Repeticion: 38, Duracion: 0.003691
Repeticion: 39, Duracion: 0.004776
Repeticion: 40, Duracion: 0.000866
Repeticion: 41, Duracion: 0.001563
Repeticion: 42, Duracion: 0.001776
Repeticion: 43, Duracion: 0.001334
Repeticion: 44, Duracion: 0.001071
Repeticion: 45, Duracion: 0.001055
Repeticion: 46, Duracion: 0.000830
Repeticion: 47, Duracion: 0.000897
Repeticion: 48, Duracion: 0.001044
Repeticion: 49, Duracion: 0.000879
Repeticion: 50, Duracion: 0.000837
Repeticion: 51, Duracion: 0.000867
Repeticion: 52, Duracion: 0.001113
Repeticion: 53, Duracion: 0.001910
Repeticion: 54, Duracion: 0.001413
Repeticion: 55, Duracion: 0.000901
Repeticion: 56, Duracion: 0.000837
Repeticion: 57, Duracion: 0.001272
Repeticion: 58, Duracion: 0.001217
Repeticion: 59, Duracion: 0.001016
Repeticion: 60, Duracion: 0.000867
Repeticion: 61, Duracion: 0.001006
Repeticion: 62, Duracion: 0.000854
Repeticion: 63, Duracion: 0.000842
Repeticion: 64, Duracion: 0.000981
Repeticion: 65, Duracion: 0.001552
Repeticion: 66, Duracion: 0.001535
Repeticion: 67, Duracion: 0.001085
Repeticion: 68, Duracion: 0.000911
Repeticion: 69, Duracion: 0.001020
Repeticion: 70, Duracion: 0.000840
Repeticion: 71, Duracion: 0.000887
Repeticion: 72, Duracion: 0.001199
Repeticion: 73, Duracion: 0.000918
Repeticion: 74, Duracion: 0.000841
Repeticion: 75, Duracion: 0.001061
Repeticion: 76, Duracion: 0.000867
Repeticion: 77, Duracion: 0.002102
Repeticion: 78, Duracion: 0.001591
Repeticion: 79, Duracion: 0.000891
Repeticion: 80, Duracion: 0.001371
Repeticion: 81, Duracion: 0.001060
Repeticion: 82, Duracion: 0.000835
Repeticion: 83, Duracion: 0.001011
Repeticion: 84, Duracion: 0.000913
Repeticion: 85, Duracion: 0.000860
Repeticion: 86, Duracion: 0.000844
Repeticion: 87, Duracion: 0.003917
Repeticion: 88, Duracion: 0.000996
Repeticion: 89, Duracion: 0.002052
Repeticion: 90, Duracion: 0.004115
Repeticion: 91, Duracion: 0.001239
Repeticion: 92, Duracion: 0.002554
Repeticion: 93, Duracion: 0.002838
Repeticion: 94, Duracion: 0.002170
Repeticion: 95, Duracion: 0.002451
Repeticion: 96, Duracion: 0.001003
Repeticion: 97, Duracion: 0.001896
Repeticion: 98, Duracion: 0.000920
Repeticion: 99, Duracion: 0.002975

Tiempo promedio: 0.001960
